topic_id,0,1,2,3,4,5,6,label,doc_weight_sum,genre_travel,genre_domestic,genre_sea,genre_gothic,genre_historical,auth_MELVILLE,auth_AUSTEN,title_REDBURN HIS FIRST VO,title_MANSFIELD PARK,title_EMMA,title_NORTHANGER ABBEY,title_SENSE AND SENSIBILIT,title_PRIDE AND PREJUDICE,title_THE CONFIDENCE MAN H,title_MOBY DICK OR THE WHA,title_PIERRE OR THE AMBIGU,title_LADY SUSAN,title_WHITE JACKET OR THE ,title_TYPEE A ROMANCE OF T,title_OMOO ADVENTURES IN T,title_ISRAEL POTTER HIS FI,title_PERSUASION,title_MARDI AND A VOYAGE T,title_LOVE AND FREINDSHIP ,author,genre,title
0,sir,said,gentlemen,mr,young,gentleman,john,"0 sir, said, gentlemen, mr, young, gentleman, john",14.093476211948175,0.01691450555645274,0.009979902058626271,0.010842121228486974,0.00834508193868586,0.034131625352473,0.012895806376405613,0.00937736764072881,0.017610463020574132,0.012105045152879197,0.0024023350514402095,0.0034880796206342795,0.009345050477418782,0.006277174687095667,0.036394787851676665,0.008251469087000092,0.009665845726927958,0.013571382304518015,0.02943929817636374,0.0010172914097555201,0.002125235732276557,0.034131625352473,0.01654379821701039,0.0011941163902188874,0.02112923821329517,auth_MELVILLE,genre_historical,title_THE CONFIDENCE MAN H
1,may,yet,world,great,even,things,much,"1 may, yet, world, great, even, things, much",107.46900142624382,0.0851221860856129,0.014698268002759312,0.12564000489611118,0.13976272100916873,0.07473106958141795,0.12060628790072102,0.014831307516859382,0.05970648833251655,0.005487835782815105,0.01103648882569867,0.01613166147725691,0.006999167962146078,0.007217818643459534,0.12609446389062934,0.2059482679048614,0.17338169333802195,0.016661527905292635,0.12417119822170815,0.06676251227700382,0.04776516056172536,0.07473106958141795,0.012462003739087901,0.09587284700276748,0.07544567219308641,auth_MELVILLE,genre_gothic,title_MOBY DICK OR THE WHA
2,could,seemed,still,moment,thought,room,last,"2 could, seemed, still, moment, thought, room, last",80.29696490781967,0.06723336209276874,0.04480105734580663,0.04464225077114167,0.17096803680146588,0.2083983135864107,0.07376734346552441,0.05267881126384419,0.044469599639297495,0.05914215764243433,0.032798851129492816,0.12967750278530774,0.08654619455379389,0.03840792099800872,0.08412383794344357,0.046239453366844895,0.18219616447252648,0.011005641205260335,0.03726131549488711,0.1534679429286447,0.012939233129591684,0.2083983135864107,0.05752114356520516,0.04706327064546083,0.017917848052985012,auth_MELVILLE,genre_historical,title_ISRAEL POTTER HIS FI
3,anything,play,room,part,may,nothing,table,"3 anything, play, room, part, may, nothing, table",19.77033900462343,0.03583159803926144,0.019040447661675286,0.009022568185333485,0.012758166636049085,0.008573637318446658,0.01570873646472971,0.019215308411985446,0.01937937130827045,0.07632886711956079,0.0030628428379662447,0.020924431229533007,0.007221405623310541,0.006274716021082847,0.06902270229528527,0.011037365961631077,0.010537515737820998,0.01803368393245351,0.008088600480014255,0.007353608152213594,0.011210284296791724,0.008573637318446658,0.006976828936306106,0.0038946312221089744,0.011931698729459475,auth_AUSTEN,genre_travel,title_MANSFIELD PARK
4,ye,old,said,see,dont,go,say,"4 ye, old, said, see, dont, go, say",39.92286444908954,0.023341925541782157,0.0025606738417928827,0.05865941598387071,0.022471671181962406,0.0583135204499131,0.0459559360975202,0.002575804689213656,0.0573225702403346,0.002854300946218039,0.00561498676262251,0.002723696520455401,0.003246649502814863,0.0007515877457954883,0.023638635462482353,0.12974700736777608,0.02784173446710905,0.0005711860159773592,0.041536992275863306,0.006028257367563151,0.030195106335202063,0.0583135204499131,0.00027028051743816666,0.016964284384658183,0.0038320320830284977,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA
5,little,island,two,among,could,every,many,"5 little, island, two, among, could, every, many",58.1335529171177,0.18651037866545148,0.0060886556154930715,0.03227562078675644,0.006752032783761105,0.024217416709499978,0.06589194948057513,0.006363460654577347,0.03003564262266265,0.008074194383802524,0.003741067059340926,0.009049458294659087,0.008678523767488592,0.005609851314356393,0.02186811471939229,0.016932443290423115,0.006127294267639725,0.0016743130064156761,0.013969669047774204,0.4928395971058947,0.24020074852118667,0.024217416709499978,0.010615964665427705,0.052666514895883025,0.006332730376027138,auth_MELVILLE,genre_travel,title_TYPEE A ROMANCE OF T
6,said,lord,us,cried,king,old,yet,"6 said, lord, us, cried, king, old, yet",81.09131887121997,0.013721541779064657,0.002395926541146938,0.14672537533241514,0.020833252374443324,0.02648259763948446,0.09444864909617304,0.0024250513157871075,0.03000032827857131,7.53320142259551e-05,7.103125320590266e-05,0.0027097225001732794,0.0013529977341639,0.002588495800313607,0.02284940863997953,0.030136352959744185,0.025761580673586935,0.0023342176075699743,0.03847151361939501,0.001525210257123756,0.008760166831060436,0.02648259763948446,0.0022167353780289203,0.3269981652566524,0.014332932701998485,auth_MELVILLE,genre_sea,title_MARDI AND A VOYAGE T
7,said,good,little,well,say,friend,way,"7 said, good, little, well, say, friend, way",57.865199489509685,0.16370277401480055,0.010591078481477468,0.02567774643755641,0.03436779391051684,0.11237387731323152,0.06353366045075015,0.011561641037041994,0.03829688830277251,0.013555080214369934,0.01285969305659149,0.021048107305946924,0.0067478066863306384,0.004805352498973662,0.3420144500621415,0.021293231024681548,0.0379898139521104,0.005562390389005662,0.015308593235879537,0.019706571541401992,0.0277005793786403,0.11237387731323152,0.024323523307874916,0.028625090827526404,0.01703460039138461,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H
8,us,could,soon,side,exclaimed,come,along,"8 us, could, soon, side, exclaimed, come, along",24.258204798388515,0.05937393783907029,0.00809449340574923,0.01642763941787742,0.00701306565771112,0.010909072371762672,0.02539443481910578,0.008002800006432968,0.016034669323305252,0.006230218721417455,0.002517323189368221,0.0071065709744062835,0.0064021403572234485,0.00674878291436467,0.01594890584315042,0.008193333659726396,0.006987638773346645,0.007127516971160142,0.00621192751661172,0.10336935990173945,0.08879355405250983,0.010909072371762672,0.002876141989764339,0.02723190278668724,0.0384204103620583,auth_MELVILLE,genre_travel,title_TYPEE A ROMANCE OF T
9,whale,sea,boat,ship,white,head,water,"9 whale, sea, boat, ship, white, head, water",76.76199614009276,0.029300377386298933,0.00039609162416806137,0.13447202238201364,0.009815403830735864,0.0571645119549145,0.09016383761519836,0.0003674675663897452,0.046793013242626406,0.0006641388943416743,0.00046971791557918655,8.769048552426812e-05,0.00014597682925853546,0.00010943856592613219,0.023093148380338623,0.2850231813289694,0.012460659214082877,0.0005711860136774464,0.06155861833873903,0.029571137512091106,0.036000923316292774,0.0571645119549145,0.0005337293137296738,0.09739989904957083,0.0005041619067899456,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA
10,stone,spring,yet,old,might,boy,end,"10 stone, spring, yet, old, might, boy, end",5.279704222486079,0.008390181088215322,0.0003819990199759938,0.001980635108247477,0.015987666619504473,0.004485559110532319,0.0060533873747563955,0.0004021705207878503,0.006606371729028551,0.00042509094882615207,0.00012010807724684988,0.0005993306738843858,0.0008438300744869408,0.0001560691347942923,0.01807192093561812,0.0006166204433080243,0.020172214113488886,0.0005711860139964012,0.00034415257537913666,0.001998293691837275,0.00041417602980802995,0.004485559110532319,6.271500027691109e-05,0.0018677272126813693,0.0005041619055498719,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU
11,could,said,know,mr,think,much,may,"11 could, said, know, mr, think, much, may",125.69144610738886,0.011189077154731074,0.35729281663364065,0.00833121297491755,0.07524498758503995,0.0009499795298877377,0.009805156342264764,0.35136845274390416,0.0202909483432262,0.3459668417159283,0.37789191112955584,0.29346257343454335,0.36963176559949423,0.363122181647593,0.014229834821943165,0.009817252789318496,0.015905117748771486,0.4808332647294228,0.004556814119479361,0.0035645659294930515,0.011013042906060408,0.0009499795298877377,0.15237394322438977,0.004276401906122212,0.2860866697388946,auth_AUSTEN,genre_domestic,title_LADY SUSAN
12,old,round,came,little,day,house,three,"12 old, round, came, little, day, house, three",102.63503778751192,0.10986486796322657,0.004748305225662976,0.12535371194076295,0.06626345937690674,0.21863036251319007,0.11864565384596189,0.00534800005522245,0.1797704054903804,0.003268256251285516,0.0035328074404409565,0.011209533389303746,0.009368829039548715,0.003386772913075152,0.04135251632029153,0.048556271723779985,0.0812342638121321,0.003839350292721725,0.07456790398745357,0.0440407752997786,0.21235426794397522,0.21863036251319007,0.007027807119250842,0.18189647596526504,0.0036016850646372147,auth_MELVILLE,genre_historical,title_ISRAEL POTTER HIS FI
13,could,lady,mrs,every,might,much,mr,"13 could, lady, mrs, every, might, much, mr",108.55180731273917,0.01998307006595606,0.2912945976001348,0.009082392877774868,0.07726613162121977,0.014851818656065316,0.016537454844529963,0.2829190739367926,0.029804916199897377,0.2303311025873097,0.17538822751162034,0.2010550845821895,0.33647108964797146,0.2909594493740886,0.02985873004090236,0.0034440478121893076,0.043604223359903514,0.3884640644022848,0.003869012813845534,0.017736130414852027,0.010075588973180083,0.014851818656065316,0.30775680159268487,0.00724324295883512,0.4031144526072814,auth_AUSTEN,genre_domestic,title_LOVE AND FREINDSHIP 
14,captain,could,little,home,think,go,good,"14 captain, could, little, home, think, go, good",12.847049898322446,0.017188105718964206,0.013476739260821914,0.008276861360732846,0.0058744983809914195,0.007695725722013772,0.009949984423912074,0.013142404604781893,0.01326065948186876,0.002589187686179055,0.0005376003705189839,0.00987455296671331,8.952230163151383e-05,0.0007344149956787109,0.0182760967628597,0.010578970269524153,0.004786764239260028,0.020906671276706108,0.01068241829121839,0.0027386238542359454,0.021985217785429657,0.007695725722013772,0.1253969130680914,0.0035192279224432687,0.0005678375381989696,auth_AUSTEN,genre_travel,title_PERSUASION
15,thought,could,little,never,used,thing,good,"15 thought, could, little, never, used, thing, good",21.056055149201026,0.021381497726297632,0.0072805711898479295,0.024791547871243467,0.013042336396771397,0.0031172663071287166,0.021796231109087672,0.007572630857714098,0.08786846123645672,0.014015287839940131,0.014402998357934632,0.010427278579115691,0.003937722871785141,0.002689398091761447,0.024245517687426003,0.011432383847363158,0.013753448610344441,0.0026308956016790983,0.007335231390127342,0.004653110192281899,0.02517422186843156,0.0031172663071287166,0.010842012993309674,0.017250760738276964,0.0005041619093921556,auth_MELVILLE,genre_sea,title_REDBURN HIS FIRST VO
16,letter,lady,end,might,nothing,easy,cabin,"16 letter, lady, end, might, nothing, easy, cabin",4.907596528277059,0.01427538015751389,0.0001816726444214819,0.0034790189440597635,0.0010894704490226942,0.0001445059481163355,0.0057056838964546375,0.0001729497493731058,0.005936678196836411,6.176151174480818e-05,7.103125270701141e-05,8.769048486800983e-05,8.952230108590854e-05,0.00010943856538114313,0.03245420456828501,0.0004852089483971472,0.0013618842989244068,0.000571186013380359,0.0010268117664089568,9.394007814834385e-05,0.00020312120298983624,0.0001445059481163355,6.27149999418194e-05,0.0057715903185661084,0.0005041619044720442,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H
17,mr,mrs,miss,could,said,much,well,"17 mr, mrs, miss, could, said, much, well",77.49236347953106,0.014723778549565586,0.20140498624465797,0.00610513938148379,0.0702514988897825,0.0065259932697889645,0.00990891038290121,0.2067957774073802,0.02203119306250944,0.21556616064296408,0.352823159691709,0.2594864136107611,0.14270276006671773,0.25923883188697,0.02176553931000004,0.0054195959763361405,0.018792881728814635,0.02264531571879981,0.004305817796212508,9.394007898949798e-05,0.013061047324693495,0.0065259932697889645,0.2526756142905168,0.0010687824001265058,0.05549507926420361,auth_AUSTEN,genre_domestic,title_EMMA
18,ship,deck,captain,men,sea,sailors,ships,"18 ship, deck, captain, men, sea, sailors, ships",111.29285832755586,0.09487247344583893,0.0015137920524504048,0.17391148149327734,0.0029918673973853703,0.12515384600300547,0.13038995403601158,0.0013814293321737336,0.26564766734348855,0.002712755551425165,0.00015714191021558204,8.769048559852822e-05,8.952230162434982e-05,0.0007028656351592036,0.0212221863304773,0.09293321101143785,0.003781599715502845,0.0005711860139322675,0.512185517876093,0.03670782783500492,0.19982520260621583,0.12515384600300547,0.009398613081348305,0.03492875063665322,0.0009786525421957004,auth_MELVILLE,genre_sea,title_WHITE JACKET OR THE 
19,thou,thee,thy,oh,yet,mother,love,"19 thou, thee, thy, oh, yet, mother, love",54.58316297093281,0.007078981129126675,0.0037779255496904977,0.03430323262593669,0.23890085715887543,0.00314930066271679,0.06284094197741612,0.0034980906890092886,0.009133664605376204,0.0005463843923320986,0.0005006771767448504,0.0007629305991252129,8.952230170481832e-05,0.00010943856612183357,0.013474998133677257,0.05391433122668744,0.30365766174968467,0.0018538345857457726,0.005108592976546017,0.006731304171946533,0.00020312120393853786,0.00314930066271679,6.271500031634706e-05,0.04426631747949593,0.04176181251506134,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU
